TripID,Date,From_Station,To_Station,Distance_km,Fare,Cost_per_passenger,Passengers,Ticket_Type,Remarks
59771,08-05-2022,Inderlok,Kashmere Gate,12.94,77.99,18.27,13,Smart Card,maintenance
21363,12-01-2023,Model Town,Dilshad Garden,2.33,35.89,83.71,15,Tourist Card,maintenance
127325,13-07-2023,   Kashmere Gate   ,Netaji Subhash Place,5.56,64.35,43.7,9,Single,off-peak
140510,10-11-2022,Chandni Chowk,Hauz Khas,4.02,144.13,14.98,27,,maintenance
144298,06-11-2022,Rajiv Chowk,Kalkaji Mandir,9.66,104.96,83.84,23,Single,off-peak
96371,10-07-2024,Kalkaji Mandir,Shivaji Park,3.91,29.2,30.64,22,Tourist Card,
49743,02-09-2022,Mandi House,Jasola Vihar,1.49,175.32,33.45,14,Tourist Card,peak
47390,07-12-2023,Mandi House,Central Secretariat,7.38,167.59,50.69,18,Tourist Card,festival
58379,05-05-2024,AIIMS,Chandni Chowk,2.57,125.25,81.71,24,Single,weekend
69048,05-07-2022,New Delhi,Jasola Vihar,7.58,151.39,37.76,19,Tourist Card,peak
41981,19-03-2023,New Delhi,Model Town,1.04,114.49,107.94,16,Smart Card,festival
88783,28-07-2022,Rajiv Chowk,Kirti Nagar,5.84,66.97,114.12,24,Tourist Card,weekend
70772,16-02-2023,Rajiv Chowk,New Delhi,2.71,157.05,93.1,21,Tourist Card,weekend
20217,06-04-2024,Rajiv Chowk,Laxmi Nagar,1.54,162.06,64.45,11,Tourist Card,festival
80725,11-09-2024,Rajouri Garden,Barakhamba Road,5.14,59.77,81.08,26,Smart Card,maintenance
96907,17-07-2022,Rajiv Chowk,Kalkaji Mandir,1.51,136.28,110.94,21,Tourist Card,off-peak
81422,06-05-2024,Rajiv Chowk,Janakpuri West,4.76,82.87,33.01,22,Smart Card,maintenance
109510,06-02-2023,  Laxmi Nagar ,Netaji Subhash Place,2.54,178.92,109.15,26,Smart Card,
1877,09-10-2023,Noida City Centre,Punjabi Bagh,5.54,31.78,68.13,15,Tourist Card,peak
46384,04-08-2024,Rajouri Garden,Hauz Khas,2.98,195.57,50.13,19,Single,maintenance
7488,18-11-2024,New Delhi,Kalkaji Mandir,13.19,38.99,57.61,15,Smart Card,maintenance
18049,03-02-2022,Model Town,Kalkaji Mandir,3.09,60.74,63.6,25,Tourist Card,festival
29282,20-10-2022,Noida City Centre,Mandi House,6.2,78.87,36.76,25,Tourist Card,maintenance
51011,09-10-2024,Janakpuri West,Kalkaji Mandir,1,67.8,53.12,25,Smart Card,
76505,11-11-2022,Noida City Centre,Chandni Chowk,4,14.2,118.29,18,Single,festival
134481,11-12-2023,Mandi House,Barakhamba Road,9.7,184.96,58.18,28,Tourist Card,maintenance
100165,10-08-2023,Central Secretariat,Shivaji Park,16.02,136.13,24.24,11,Tourist Card,weekend
25706,12-08-2023,Rajiv Chowk,Old Delhi,8.1,44.74,21.62,16,Tourist Card,
96399,01-06-2024,Janakpuri West,Shivaji Park,1.63,42.97,32.26,20,Tourist Card,maintenance
33117,10-05-2022,Inderlok,Punjabi Bagh,18.98,126.38,71.95,15,Smart Card,weekend
924,25-05-2024,Rajiv Chowk,Kirti Nagar,1.51,124.59,6.49,18,Tourist Card,weekend
74297,09-01-2022,Dilshad Garden,Chandni Chowk,1.27,162.81,26.6,16,Tourist Card,peak
103669,31-10-2023,Rajiv Chowk,Noida City Centre,9.82,176.13,43.22,17,Tourist Card,festival
100419,08-06-2022, Hauz Khas   ,Pragati Maidan,0.88,135.12,21.57,15,Tourist Card,
99126,27-05-2024,New Delhi,Central Secretariat,9.24,185.42,22.51,21,Single,peak
39798,19-02-2024,Rajiv Chowk,Inderlok,1.02,147.91,82.67,20,Tourist Card,peak
110749,12-09-2023,New Delhi,Hauz Khas,14.67,182.91,96.78,17,Single,
29475,26-06-2023,Mandi House,Laxmi Nagar,0.6,76.47,106.59,16,Smart Card,
62005,18-01-2023,Rajiv Chowk,Janakpuri West,6.78,161.02,60.57,23,Single,off-peak
56936,30-07-2024,Rajiv Chowk,Hauz Khas,0.99,26.95,56.5,13,Tourist Card,off-peak
24370,27-09-2023,Jasola Vihar,Shivaji Park,1.77,182.84,19.75,16,Tourist Card,festival
37241,29-09-2024,   new delhi   ,Model Town,4.17,161.38,57.22,19,Tourist Card,off-peak
49307,31-07-2023,AIIMS,Shivaji Park,4.63,72.01,62.15,18,Single,weekend
90612,24-01-2024,Laxmi Nagar,Barakhamba Road,5.65,150.46,69.77,20,Smart Card,festival
107702,07-06-2023,New Delhi,Janakpuri West,1.63,52.35,24.42,20,Tourist Card,
